,Model name,Threshold,Accuracy,True Positives,False Positive,FP Percent,True Negatives,False Negatives,FN Percent,Recall
31,heart_attack_ADASYN,0.45,0.9513081395348837,65494,1035,1.5557125464083332,1265,2382,65.3139566767206,0.3468604332327941
32,heart_attack_ADASYN,0.4,0.9503961468308254,65276,1253,1.883389198695306,1419,2228,61.091307924321356,0.3890869207567864
33,heart_attack_ADASYN,0.35,0.9490566575467396,65005,1524,2.290730358189662,1596,2051,56.23800383877159,0.43761996161228406
34,heart_attack_ADASYN,0.3,0.9467624259005928,64701,1828,2.747673946699935,1739,1908,52.31697285440088,0.4768302714559912
35,heart_attack_ADASYN,0.25,0.9435562015503876,64354,2175,3.2692510033218594,1861,1786,48.97175760899369,0.5102824239100631
36,heart_attack_ADASYN,0.2,0.9383977428180574,63844,2685,4.035833997204227,2009,1638,44.913627639155465,0.5508637236084453
37,heart_attack_ADASYN,0.15,0.928422822617419,62965,3564,5.35706233371913,2188,1459,40.005483959418704,0.599945160405813
38,heart_attack_ADASYN,0.1,0.9015332877336981,60788,5741,8.629319544860136,2478,1169,32.05374280230326,0.6794625719769674
39,heart_attack_ADASYN,0.05,0.8193256953944369,54564,11965,17.98463827804416,2933,714,19.577735124760075,0.8042226487523992
40,heart_attack_RU,0.5,0.8079827861377109,53781,12748,19.16156863924003,2920,727,19.934192486975597,0.800658075130244
41,heart_attack_RU,0.45,0.7845559735522116,52043,14486,21.773963234078373,3014,633,17.356731560186457,0.8264326843981354
42,heart_attack_RU,0.4,0.7581509347925217,50107,16422,24.68397240301222,3097,550,15.08088840142583,0.8491911159857417
43,heart_attack_RU,0.35,0.7292379160966712,48005,18524,27.843496820935233,3170,477,13.07924321360022,0.8692075678639978
44,heart_attack_RU,0.3,0.6951664386684907,45537,20992,31.55315726976206,3247,400,10.967918837400603,0.890320811625994
45,heart_attack_RU,0.25,0.6574754901960784,42795,23734,35.67466818981197,3344,303,8.308198519330958,0.9169180148066904
46,heart_attack_RU,0.2,0.6120896032831737,39547,26982,40.55674968810594,3407,240,6.580751302440362,0.9341924869755964
47,heart_attack_RU,0.15,0.5588662790697675,35752,30777,46.2610290249365,3467,180,4.935563476830271,0.9506443652316973
48,heart_attack_RU,0.1,0.48242989056087554,30321,36208,54.424386357828915,3534,113,3.0984370715656704,0.9690156292843433
49,heart_attack_RU,0.05,0.3599093707250342,21654,44875,67.45178794210044,3603,44,1.2064710721140663,0.9879352892788593
50,heart_disease_imbalanced,0.5,0.9491421568627451,65448,782,1.1807338064321304,1159,2787,70.62848454130766,0.2937151545869235
51,heart_disease_imbalanced,0.45,0.9491136570907432,65276,954,1.4404348482560774,1329,2617,66.32032437911809,0.33679675620881905
52,heart_disease_imbalanced,0.4,0.9491991564067488,65121,1109,1.6744677638532386,1490,2456,62.24024328433857,0.3775975671566143
53,heart_disease_imbalanced,0.35,0.9479024167806658,64894,1336,2.0172127434697265,1626,2320,58.79371515458692,0.41206284845413077
54,heart_disease_imbalanced,0.3,0.945593935248518,64599,1631,2.4626302279933565,1759,2187,55.42321338063863,0.4457678661936138
55,heart_disease_imbalanced,0.25,0.9419602143182855,64201,2029,3.063566359655745,1902,2044,51.79929042067917,0.48200709579320833
56,heart_disease_imbalanced,0.2,0.9361462608299134,63603,2627,3.9664804469273744,2092,1854,46.98428788646731,0.5301571211353269
